fold,epoch,train_loss_median,val_loss_median,train_loss_mean,val_loss_mean,train_loss_std,val_loss_std
0,0,75.49577,68.31521000000001,77.29379137291666,70.74087430833333,19.46583375525792,17.800343167490333
1,0,87.182975,86.219695,88.88760969166667,88.36909575,15.841656173520946,16.343939606446405
2,0,75.067115,71.11257,77.82346347291667,74.26822115,20.54278355076939,18.202501698374355
3,0,94.237635,86.28156,96.28288532916667,89.13578540000002,23.167741417439874,17.542575464151888
4,0,78.20052,68.29796999999999,79.57731509583333,70.50729299999999,20.852147158334613,17.918254717876312
