fold,epoch,train_loss_median,val_loss_median,train_loss_mean,val_loss_mean,train_loss_std,val_loss_std
0,0,73.00455,70.926105,75.6670886125,73.56138509583332,19.801037649003092,19.9732767336035
1,0,93.820615,86.17015,95.69638812291666,88.49741434999999,21.721134251020718,16.668723144554342
2,0,75.541775,72.16898,77.76122936249999,74.3259458375,19.985038410505933,17.856779311131135
3,0,74.454205,70.54795,76.6634100375,72.2631003875,20.332375575498823,19.160051167612234
4,0,73.430485,70.351665,75.8306897125,72.11528680833334,19.934021204710366,16.866033743401378
