fold,epoch,train_loss_median,val_loss_median,train_loss_mean,val_loss_mean,train_loss_std,val_loss_std
0,0,105.412215,109.69115,110.448935,118.54831250000001,27.376304900212975,21.127889396298407
0,1,113.403065,114.516795,122.27820625000001,123.3954725,21.695048439309222,21.248855885788736
0,2,114.52184,114.49033,123.39783750000001,123.3706425,21.250182757962786,21.250206283630956
0,3,114.43527,114.364315,123.32166875,123.24646,21.248987556378086,21.24862850836849
0,4,114.28688500000001,114.21770000000001,123.18351874999999,123.10168,21.250858153293734,21.245981045949613
0,5,114.167055,114.04618500000001,123.02904375,122.932245,21.22331501261581,21.243044568938917
0,6,113.91716500000001,113.82149,122.83954250000001,122.71006499999999,21.275564355378304,21.23890488277762
0,7,113.717985,113.51576,122.5854675,122.40731,21.2115025666369,21.232668586011506
0,8,113.31391500000001,112.96137999999999,122.2071225,121.85677,21.144115345046217,21.219434619996356
0,9,112.664625,111.00643500000001,121.27061624999999,119.9027775,21.18227578357489,21.16052865672355
1,0,99.98207,80.14574,103.52951375,92.00426999999999,26.02746741766616,21.1476416198107
1,1,80.571065,83.41135,89.25084375,88.32908499999999,19.83432528921449,16.33220138969254
1,2,80.61341999999999,82.104395,87.9257125,93.6205825,16.09705461812638,21.226701377661552
1,3,81.28258,77.55455,89.1746625,84.6289,19.253912219826095,17.174852552933313
1,4,76.71609,77.495315,86.07085375,84.0507625,17.224732272387385,16.515655598580363
1,5,77.930485,76.91728,86.68622625,87.669505,16.492675562047186,19.972091550899847
1,6,79.088345,76.407415,85.414585,82.56286750000001,14.638339164279362,15.512841446945451
1,7,74.29686000000001,80.45041499999999,83.0386825,84.458835,18.985448952373204,12.497049217232245
1,8,76.170695,73.10281,83.99018375,79.55883,17.455058252830277,15.285439077491363
1,9,74.23319000000001,74.019675,79.66624250000001,78.7578025,14.629841072711411,13.264905296290987
2,0,102.19035500000001,95.90188,105.59723125,105.40412,14.650522751905,21.508753594257854
2,1,93.380115,93.056105,103.27060875,95.48961249999999,25.648843899000806,12.879211170016148
2,2,88.26089999999999,86.185,94.24904125,90.99698749999999,18.61603437085181,14.937299056863287
2,3,86.62558999999999,86.02634499999999,90.64006499999999,93.1097675,15.396059266964228,19.05349169339622
2,4,85.552425,89.093165,90.467085,91.8420875,15.240311294316628,11.395656357179202
2,5,85.59476000000001,82.344315,90.1863975,86.606585,16.459938442058153,15.71983440200707
2,6,86.823275,85.38916499999999,90.73848875,90.39546,16.61283803318042,17.413411842854057
2,7,85.62344999999999,84.43117000000001,86.31424874999999,87.9792175,13.527028770949142,16.084925380887498
2,8,86.533405,86.2333,87.34722,85.01975,16.154296022994934,9.294747278296487
2,9,86.0271,82.80515,84.2628275,81.677995,13.321865619131346,11.552056224225844
3,0,108.55082999999999,89.603965,108.27698749999999,97.71957499999999,22.246506037353228,20.17487711913817
3,1,89.247045,84.468975,93.59028875,89.7358725,19.706592473918743,18.306185623230437
3,2,85.33321000000001,86.084855,89.36439125,88.5912225,17.69786704659451,16.575102697044407
3,3,87.56154,81.5347,91.90368375,88.101855,17.293443231617395,18.619633110221987
3,4,86.81886,82.33311,89.80634125,89.6277525,17.899140538832054,19.21314103867113
3,5,79.99407,81.13654,84.20306625,84.1394325,15.786644651774438,11.404806042924125
3,6,80.51866000000001,75.39229,84.06235125,78.066375,14.735479904950024,11.390315678350403
3,7,75.06842,79.02489499999999,80.67685,80.39025,15.711408949025707,8.413166956024941
3,8,77.14866,72.881355,79.84681125,75.874755,13.602569167688907,11.774631257773004
3,9,74.825995,72.22019499999999,79.28389999999999,75.816805,14.673581174423644,12.939381242885032
4,0,102.28265999999999,105.150025,102.60104,106.5271875,20.167436705444867,5.0367808131999094
4,1,104.96951,99.868965,107.05260125000001,101.3853325,5.0174267759565705,5.185246214970774
4,2,89.885155,81.725595,90.709375,84.789925,11.496756146796363,6.331510831075392
4,3,83.34515999999999,78.26495,84.63842374999999,80.7435075,5.885097933932233,9.322299568323727
4,4,76.73115999999999,76.479185,80.75819875,79.3562675,7.150053695360333,8.516349435971303
4,5,76.916425,76.95017,79.7562475,80.6528375,8.806765822207023,7.084423868587957
4,6,77.002005,75.436645,79.87458874999999,78.30131,8.363114859593935,8.1611655225127
4,7,75.78608,76.67304,79.3513225,78.8169875,7.328194857819265,8.705073373749864
4,8,75.86681,74.68461,78.6651325,77.186185,7.339385964094257,8.022224245972868
4,9,74.73699500000001,74.04025,77.018935,76.3708225,7.847121068312252,7.761206727698262
