fold,epoch,train_loss_median,val_loss_median,train_loss_mean,val_loss_mean,train_loss_std,val_loss_std
0,0,72.93459,69.90125,75.75632115,72.12221959583333,20.542015465279103,19.060591729808277
1,0,74.140985,69.228575,76.97072249166666,71.99207957916666,20.75789980865581,17.890367710569265
2,0,85.573945,86.959175,87.13209303541667,89.07461023750001,17.965518474466325,16.122524844977026
3,0,87.031155,88.197645,89.49607857083333,89.88143575000001,16.37500071157561,14.073840602226438
4,0,85.1602,86.16464500000001,86.52285720208333,88.21312725,17.45828762207911,15.481226690524958
