fold,epoch,train_loss_median,val_loss_median,train_loss_mean,val_loss_mean,train_loss_std,val_loss_std
0,0,87.123275,86.11139499999999,89.45200164583333,88.19051546249999,16.58934540581845,14.685142878923418
1,0,73.259425,73.23166,76.10875528125,74.96546359166666,20.267396789444046,17.78632517946534
2,0,74.917175,70.17481000000001,77.81812148125,73.32879707916666,20.673529500467332,18.469627637786235
3,0,94.694395,86.27624,96.46994159166667,89.14721404999999,23.403516976698697,17.564416063018097
4,0,87.687995,86.82698500000001,89.12450496041667,88.23971490416666,15.958259722378287,14.980813030342626
