fold,epoch,train_loss_median,val_loss_median,train_loss_mean,val_loss_mean,train_loss_std,val_loss_std
0,0,72.490605,69.79992,74.66707610625,72.30414646666667,20.28096096047608,20.299782824464145
1,0,72.817825,68.82972000000001,75.16022504166666,70.997013725,19.782657516091124,18.20050268886594
2,0,96.34501,86.62340499999999,97.49441970416667,89.5665148,23.09674761794538,17.589055695271902
3,0,76.61891,71.615725,78.60654991458334,73.09683102083335,19.943569202251165,18.03603601940693
4,0,72.625595,68.878095,74.92196322291666,70.52633095416667,19.96624495550109,17.784341072666514
