fold,epoch,train_loss_median,val_loss_median,train_loss_mean,val_loss_mean,train_loss_std,val_loss_std
0,0,106.222055,102.570375,105.6676156740196,101.73592036764707,25.56753043681282,24.480379973340014
0,1,98.76451,95.15124,98.41734131127451,95.44627970588235,23.698118301841532,22.760380175407587
0,2,92.849425,90.368975,93.1576237254902,91.17431203431372,21.939515169307445,20.989980637744985
0,3,88.90166500000001,87.16321500000001,89.7141756862745,88.47424465686274,20.122545780224428,19.34671099076165
0,4,86.551835,86.020565,87.67660551470587,87.03633563725492,18.675983550809562,18.041357700641495
0,5,85.53347500000001,85.06967499999999,86.6614374754902,86.37469835784313,17.508737492080314,17.094802858139687
0,6,84.70751999999999,84.54357,86.22672699754901,86.12171906862746,16.74693881379523,16.447759537043726
0,7,84.61764,84.38171,86.07977704656862,86.05592343137255,16.24687677735345,16.04131842132249
0,8,84.228665,84.15902,86.05501647058823,86.05287747549019,15.929958914982185,15.842977051233845
0,9,84.09309,84.12131,86.05763541666666,86.06319210784314,15.781400794176568,15.702773421658328
1,0,108.24860000000001,103.781505,106.73731899509804,102.6463749264706,26.534148546659104,25.671179882840242
1,1,100.52138,97.204465,99.37453651960786,96.41349188725489,24.842597336222003,23.89123733597132
1,2,93.873845,91.453845,94.13490524509803,92.1108443382353,22.89294864423748,22.042336641126727
1,3,89.746585,87.75550000000001,90.63910029411764,89.37631458333333,21.119597598653243,20.324929937319666
1,4,86.97483,86.632965,88.53834544117646,87.87870254901961,19.62203966712538,18.92646047743389
1,5,85.83703,85.538905,87.47860715686275,87.17008267156862,18.345334544113744,17.881655119097275
1,6,85.104365,84.645235,87.00012042892158,86.89905487745098,17.550023314027023,17.16269450433923
1,7,84.44355,84.280645,86.8565749877451,86.83014169117646,16.934332860816202,16.729101878638684
1,8,84.21984499999999,84.263215,86.82466068627451,86.82652470588235,16.60587605705639,16.46881195087098
1,9,84.35324,84.55218500000001,86.8295450735294,86.83748987745098,16.41541237173768,16.326221139494248
2,0,81.07992999999999,74.61619999999999,81.46749401960784,75.75935894607842,17.108259296283602,14.935094031814803
2,1,75.49876,85.97435,76.73951612745097,85.75358742647059,17.520853217586787,20.233257664012683
2,2,74.16346999999999,70.440645,74.87151314950981,72.12447343137255,17.36012727138249,18.020317905764706
2,3,72.97159,70.56285,73.38793730392156,70.96978227941177,17.011025253844508,15.4416296066778
2,4,70.952965,71.011185,72.24705504901961,71.74766007352942,16.66716982803561,15.532065074172467
2,5,69.63433,68.37551,70.91487417892156,69.0431849754902,16.975935839996524,16.971408109631827
2,6,69.47602,71.545755,70.27330599264705,71.41751828431372,16.85902299110807,17.78540259333264
2,7,68.91099,66.58299,69.59302427696079,68.39944276960784,16.47623467599598,16.199107624652775
2,8,68.89472,68.04120499999999,69.38126335784314,68.80477428921569,16.452017669151203,17.42041716813167
2,9,67.0232,66.569,68.14728431372549,67.00346713235294,16.12138682714925,16.701916267132106
3,0,82.3297,79.44200000000001,84.05832192401962,80.14679110294117,19.77574306890877,19.95744276598337
3,1,76.639265,80.80552,78.03793959558823,83.82908301470587,18.57429044647543,15.733231544157933
3,2,73.74922000000001,72.14672999999999,75.7120637009804,72.9222887745098,18.815365376134082,17.161967812257593
3,3,72.033365,69.28837,73.6245280759804,70.69706556372549,18.307524293558394,16.62517070271788
3,4,70.950365,68.55606,71.88602887254902,69.86722862745097,18.085126826126555,18.39744190544332
3,5,69.514055,91.21431,70.8104125735294,91.0442456127451,18.05224606462501,17.323334145534098
3,6,69.12525,69.937005,70.67957249999999,70.96423321078431,18.353651677725473,15.895830501474224
3,7,69.005945,64.69978499999999,70.17998990196078,66.72887088235294,17.457857042826433,17.75046214700502
3,8,67.47628,66.84567,69.28837698529412,68.24553470588236,18.049319495260992,18.329494100190843
3,9,67.56514999999999,69.69134,68.62665454656863,71.19421137254902,17.243305282298966,14.832570890528618
4,0,79.057245,76.742845,80.61063990196078,78.41567730392157,18.43329341956927,19.527088513573794
4,1,75.30828,71.989695,76.8706256004902,74.05576963235293,18.705886456010166,18.91703227364017
4,2,72.15,68.72547,74.33546866421568,70.85322536764706,17.992165719512222,17.181124462752248
4,3,71.019675,67.98877,72.95699672794117,70.35144637254902,17.848074793610532,18.619897876504517
4,4,70.62426500000001,68.21059,72.17416615196078,70.83514698529412,17.890127894037608,16.361085522000987
4,5,70.00485,77.13027500000001,71.53524988970588,77.83118475490195,17.783783609201055,20.832255974273156
4,6,68.42675,77.81082,70.4796025367647,79.09416585784314,17.914144374404117,21.179669022300104
4,7,68.05803499999999,65.76381,69.77693322303921,67.60864262254901,17.27634929291071,17.507110091564808
4,8,67.973225,64.21013500000001,69.2207937622549,66.03401727941177,17.404803638054524,16.901902094293735
4,9,66.794175,66.23229,69.16620106617647,67.74769455882353,17.567207324424547,16.51923440689639
